City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,mao,39.8885,4.2658,64.96,94,0,6.91,ES,1699916015
340,hilo,19.7297,-155.09,82.11,73,75,8.05,US,1699915998
341,aberdeen,57.1437,-2.0981,46.89,91,75,5.75,GB,1699916016
342,mejit,10.2753,170.8646,82.47,81,81,19.33,MH,1699916016
343,undurkhaan,47.3194,110.6556,2.84,85,57,3.0,MN,1699916016
344,heihe,50.2441,127.4902,12.78,87,16,2.55,CN,1699916016
345,corfu,39.62,19.9197,56.98,88,0,0.0,GR,1699915742
346,shillong,25.5689,91.8831,50.18,51,5,1.66,IN,1699916017
347,ontario,34.0633,-117.6509,78.85,20,75,8.05,US,1699915289
348,forster,-32.1667,152.5167,74.37,69,4,9.4,AU,1699915966
349,columbia falls,48.3725,-114.1815,49.14,65,100,3.44,US,1699916017
350,fort st. john,56.2499,-120.8529,22.89,93,75,6.91,CA,1699916017
351,aktobe,50.2797,57.2072,39.29,81,0,20.13,KZ,1699916018
352,dogondoutchi,13.6393,4.0287,80.71,11,17,9.86,NE,1699916018
353,carnarvon,-24.8667,113.6333,69.62,70,54,7.94,AU,1699915834
354,santa ana de yacuma,-13.75,-65.4333,94.95,46,75,11.5,BO,1699916018
355,pursat,12.3333,103.6667,73.47,96,64,0.69,KH,1699916018
356,muisne,0.6,-80.0333,78.06,85,71,8.01,EC,1699916018
357,sandpoint,48.2766,-116.5533,44.04,87,100,5.75,US,1699915744
358,oliva,38.9197,-0.1194,65.82,65,3,21.0,ES,1699916019
359,beterou,9.1992,2.2586,77.81,34,2,2.35,BJ,1699916019
360,mossel bay,-34.1831,22.146,58.93,84,45,18.07,ZA,1699916019
361,tazovsky,67.4667,78.7,-1.89,94,7,8.72,RU,1699915783
362,carutapera,-1.195,-46.02,78.94,79,51,9.24,BR,1699916000
363,thunder bay,48.4001,-89.3168,40.98,56,75,10.36,CA,1699915767
